hebrew,transliteration,gloss_pt,frequency_rank,source_reference,morphology
וְ,ve,e (conjunção),1,Gn 1:1,"{""class"": ""conjunction""}"
הַ,ha,o/a (artigo definido),2,Gn 1:1,"{""class"": ""article""}"
אֵת,et,(marcador de objeto direto),3,Gn 1:1,"{""class"": ""particle""}"
אֲשֶׁר,asher,que / o qual,4,Gn 1:2,"{""class"": ""relative_pronoun""}"
כֹּל,kol,todo / tudo,5,Gn 1:31,"{""class"": ""noun"", ""gender"": ""m""}"
לֹא,lo,não,6,Gn 1:4,"{""class"": ""adverb""}"
כִּי,ki,porque / que,7,Gn 1:4,"{""class"": ""conjunction""}"
אֵל,el,Deus,8,Gn 1:1,"{""class"": ""noun"", ""gender"": ""m""}"
יְהוָה,YHWH,SENHOR,9,Gn 2:4,"{""class"": ""proper_noun""}"
עַל,al,sobre / em cima de,10,Gn 1:2,"{""class"": ""preposition""}"
אֶל,el,para / a,11,Gn 1:9,"{""class"": ""preposition""}"
בֵּן,ben,filho,12,Gn 4:17,"{""class"": ""noun"", ""gender"": ""m""}"
מֶלֶךְ,melekh,rei,13,Gn 14:1,"{""class"": ""noun"", ""gender"": ""m""}"
אֶרֶץ,erets,terra / país,14,Gn 1:1,"{""class"": ""noun"", ""gender"": ""f""}"
יוֹם,yom,dia,15,Gn 1:5,"{""class"": ""noun"", ""gender"": ""m""}"
אִישׁ,ish,homem,16,Gn 2:23,"{""class"": ""noun"", ""gender"": ""m""}"
עַם,am,povo,17,Gn 14:16,"{""class"": ""noun"", ""gender"": ""m""}"
בַּיִת,bayit,casa,18,Gn 12:1,"{""class"": ""noun"", ""gender"": ""m""}"
תּוֹרָה,torah,lei / instrução,19,Ex 12:49,"{""class"": ""noun"", ""gender"": ""f"", ""root"": ""י-ר-ה""}"
דָּבָר,davar,palavra / coisa,20,Gn 11:1,"{""class"": ""noun"", ""gender"": ""m"", ""root"": ""ד-ב-ר""}"
